selection_coefficient,fasta_file,Tajimas_D,Tajima_pi,num_of_mutation,snps_file,matrix_image_file,ancestral_seq,snps_image,output_file,average_h
0.7131,output/output_selection/fasta/selection_0.7131.fasta,-2.6485306177922485,0.00010383532528311049,252.0,output/output_selection/snps/snps_0.7131.fasta,output/output_selection/matrix/matrix_0.7131.txt,output/output_selection/ancestral_sequence/ancestral_0.7131.fasta,output/output_selection/images/image_0.7131.png,output/output_selection/h_result/h_0.7131.txt,20189.9
0.7649,output/output_selection/fasta/selection_0.7649.fasta,-2.637333473511894,0.000110310008011031,263.0,output/output_selection/snps/snps_0.7649.fasta,output/output_selection/matrix/matrix_0.7649.txt,output/output_selection/ancestral_sequence/ancestral_0.7649.fasta,output/output_selection/images/image_0.7649.png,output/output_selection/h_result/h_0.7649.txt,18017.4
0.7875,output/output_selection/fasta/selection_0.7875.fasta,-2.6966963462802926,9.768791200976841e-05,254.0,output/output_selection/snps/snps_0.7875.fasta,output/output_selection/matrix/matrix_0.7875.txt,output/output_selection/ancestral_sequence/ancestral_0.7875.fasta,output/output_selection/images/image_0.7875.png,output/output_selection/h_result/h_0.7875.txt,16929.4
0.7906,output/output_selection/fasta/selection_0.7906.fasta,-2.3907434798084943,0.0002206745609311581,389.0,output/output_selection/snps/snps_0.7906.fasta,output/output_selection/matrix/matrix_0.7906.txt,output/output_selection/ancestral_sequence/ancestral_0.7906.fasta,output/output_selection/images/image_0.7906.png,output/output_selection/h_result/h_0.7906.txt,14937.2
0.7968,output/output_selection/fasta/selection_0.7968.fasta,-2.09922901998788,0.000374101309491956,508.0,output/output_selection/snps/snps_0.7968.fasta,output/output_selection/matrix/matrix_0.7968.txt,output/output_selection/ancestral_sequence/ancestral_0.7968.fasta,output/output_selection/images/image_0.7968.png,output/output_selection/h_result/h_0.7968.txt,16667.0
0.8107,output/output_selection/fasta/selection_0.8107.fasta,-2.7106233678449643,0.00012846538201284591,336.0,output/output_selection/snps/snps_0.8107.fasta,output/output_selection/matrix/matrix_0.8107.txt,output/output_selection/ancestral_sequence/ancestral_0.8107.fasta,output/output_selection/images/image_0.8107.png,output/output_selection/h_result/h_0.8107.txt,17509.0
0.8381,output/output_selection/fasta/selection_0.8381.fasta,-2.6443663507583794,0.00012237453383041885,293.0,output/output_selection/snps/snps_0.8381.fasta,output/output_selection/matrix/matrix_0.8381.txt,output/output_selection/ancestral_sequence/ancestral_0.8381.fasta,output/output_selection/images/image_0.8381.png,output/output_selection/h_result/h_0.8381.txt,19730.9
0.85,output/output_selection/fasta/selection_0.85.fasta,-2.7096665322557447,9.499702982768112e-05,252.0,output/output_selection/snps/snps_0.85.fasta,output/output_selection/matrix/matrix_0.85.txt,output/output_selection/ancestral_sequence/ancestral_0.85.fasta,output/output_selection/images/image_0.85.png,output/output_selection/h_result/h_0.85.txt,21601.4
0.8562,output/output_selection/fasta/selection_0.8562.fasta,-2.712469310677278,9.898082837353409e-05,263.0,output/output_selection/snps/snps_0.8562.fasta,output/output_selection/matrix/matrix_0.8562.txt,output/output_selection/ancestral_sequence/ancestral_0.8562.fasta,output/output_selection/images/image_0.8562.png,output/output_selection/h_result/h_0.8562.txt,17649.9
0.8593,output/output_selection/fasta/selection_0.8593.fasta,-2.6269704482555567,0.00015392371328811917,357.0,output/output_selection/snps/snps_0.8593.fasta,output/output_selection/matrix/matrix_0.8593.txt,output/output_selection/ancestral_sequence/ancestral_0.8593.fasta,output/output_selection/images/image_0.8593.png,output/output_selection/h_result/h_0.8593.txt,22883.1
0.8732,output/output_selection/fasta/selection_0.8732.fasta,-1.8284505332705416,0.00023407240675067954,265.0,output/output_selection/snps/snps_0.8732.fasta,output/output_selection/matrix/matrix_0.8732.txt,output/output_selection/ancestral_sequence/ancestral_0.8732.fasta,output/output_selection/images/image_0.8732.png,output/output_selection/h_result/h_0.8732.txt,21323.2
0.9094,output/output_selection/fasta/selection_0.9094.fasta,-2.698890717950741,8.801528146334657e-05,231.0,output/output_selection/snps/snps_0.9094.fasta,output/output_selection/matrix/matrix_0.9094.txt,output/output_selection/ancestral_sequence/ancestral_0.9094.fasta,output/output_selection/images/image_0.9094.png,output/output_selection/h_result/h_0.9094.txt,20483.0
0.9156,output/output_selection/fasta/selection_0.9156.fasta,-2.78215409006679,9.063141691815356e-05,269.0,output/output_selection/snps/snps_0.9156.fasta,output/output_selection/matrix/matrix_0.9156.txt,output/output_selection/ancestral_sequence/ancestral_0.9156.fasta,output/output_selection/images/image_0.9156.png,output/output_selection/h_result/h_0.9156.txt,21276.3
0.9187,output/output_selection/fasta/selection_0.9187.fasta,-2.676965440957023,9.762932673703528e-05,247.0,output/output_selection/snps/snps_0.9187.fasta,output/output_selection/matrix/matrix_0.9187.txt,output/output_selection/ancestral_sequence/ancestral_0.9187.fasta,output/output_selection/images/image_0.9187.png,output/output_selection/h_result/h_0.9187.txt,20621.1
0.9218,output/output_selection/fasta/selection_0.9218.fasta,-2.635932244530646,0.00013971173419578914,329.0,output/output_selection/snps/snps_0.9218.fasta,output/output_selection/matrix/matrix_0.9218.txt,output/output_selection/ancestral_sequence/ancestral_0.9218.fasta,output/output_selection/images/image_0.9218.png,output/output_selection/h_result/h_0.9218.txt,16126.4
0.9843,output/output_selection/fasta/selection_0.9843.fasta,-2.6407595296374238,0.00010407976728313493,250.0,output/output_selection/snps/snps_0.9843.fasta,output/output_selection/matrix/matrix_0.9843.txt,output/output_selection/ancestral_sequence/ancestral_0.9843.fasta,output/output_selection/images/image_0.9843.png,output/output_selection/h_result/h_0.9843.txt,15707.0
0.9982,output/output_selection/fasta/selection_0.9982.fasta,-2.550739261127473,0.000179765879108885,378.0,output/output_selection/snps/snps_0.9982.fasta,output/output_selection/matrix/matrix_0.9982.txt,output/output_selection/ancestral_sequence/ancestral_0.9982.fasta,output/output_selection/images/image_0.9982.png,output/output_selection/h_result/h_0.9982.txt,20035.6
0.0858,output/output_selection/fasta/selection_0.0858.fasta,-2.317289845243085,0.00020959588383914085,345.0,output/output_selection/snps/snps_0.0858.fasta,output/output_selection/matrix/matrix_0.0858.txt,output/output_selection/ancestral_sequence/ancestral_0.0858.fasta,output/output_selection/images/image_0.0858.png,output/output_selection/h_result/h_0.0858.txt,21831.3
0.0877,output/output_selection/fasta/selection_0.0877.fasta,-2.47834277483571,0.00017466289983564788,339.0,output/output_selection/snps/snps_0.0877.fasta,output/output_selection/matrix/matrix_0.0877.txt,output/output_selection/ancestral_sequence/ancestral_0.0877.fasta,output/output_selection/images/image_0.0877.png,output/output_selection/h_result/h_0.0877.txt,19560.6
0.0965,output/output_selection/fasta/selection_0.0965.fasta,-2.5536847146710184,0.00018401836183658336,388.0,output/output_selection/snps/snps_0.0965.fasta,output/output_selection/matrix/matrix_0.0965.txt,output/output_selection/ancestral_sequence/ancestral_0.0965.fasta,output/output_selection/images/image_0.0965.png,output/output_selection/h_result/h_0.0965.txt,17263.4
0.1971,output/output_selection/fasta/selection_0.1971.fasta,-2.6652580956831318,0.00017379220147192433,422.0,output/output_selection/snps/snps_0.1971.fasta,output/output_selection/matrix/matrix_0.1971.txt,output/output_selection/ancestral_sequence/ancestral_0.1971.fasta,output/output_selection/images/image_0.1971.png,output/output_selection/h_result/h_0.1971.txt,21507.7
0.2352,output/output_selection/fasta/selection_0.2352.fasta,-2.384125478614171,0.00020460603474773287,359.0,output/output_selection/snps/snps_0.2352.fasta,output/output_selection/matrix/matrix_0.2352.txt,output/output_selection/ancestral_sequence/ancestral_0.2352.fasta,output/output_selection/images/image_0.2352.png,output/output_selection/h_result/h_0.2352.txt,15423.1
0.2459,output/output_selection/fasta/selection_0.2459.fasta,-2.7110542473560146,9.359704382754113e-05,249.0,output/output_selection/snps/snps_0.2459.fasta,output/output_selection/matrix/matrix_0.2459.txt,output/output_selection/ancestral_sequence/ancestral_0.2459.fasta,output/output_selection/images/image_0.2459.png,output/output_selection/h_result/h_0.2459.txt,21807.6
0.2596,output/output_selection/fasta/selection_0.2596.fasta,-2.8266754772259777,0.00011722105001172142,369.0,output/output_selection/snps/snps_0.2596.fasta,output/output_selection/matrix/matrix_0.2596.txt,output/output_selection/ancestral_sequence/ancestral_0.2596.fasta,output/output_selection/images/image_0.2596.png,output/output_selection/h_result/h_0.2596.txt,18828.4
0.2659,output/output_selection/fasta/selection_0.2659.fasta,-2.680913360267206,9.706973637334296e-05,247.0,output/output_selection/snps/snps_0.2659.fasta,output/output_selection/matrix/matrix_0.2659.txt,output/output_selection/ancestral_sequence/ancestral_0.2659.fasta,output/output_selection/images/image_0.2659.png,output/output_selection/h_result/h_0.2659.txt,16717.4
0.2752,output/output_selection/fasta/selection_0.2752.fasta,-1.977297383720596,0.00026439533584462105,330.0,output/output_selection/snps/snps_0.2752.fasta,output/output_selection/matrix/matrix_0.2752.txt,output/output_selection/ancestral_sequence/ancestral_0.2752.fasta,output/output_selection/images/image_0.2752.png,output/output_selection/h_result/h_0.2752.txt,19280.4
0.2783,output/output_selection/fasta/selection_0.2783.fasta,-2.806856749536513,0.00013073202601307252,396.0,output/output_selection/snps/snps_0.2783.fasta,output/output_selection/matrix/matrix_0.2783.txt,output/output_selection/ancestral_sequence/ancestral_0.2783.fasta,output/output_selection/images/image_0.2783.png,output/output_selection/h_result/h_0.2783.txt,21368.4
0.284,output/output_selection/fasta/selection_0.284.fasta,-2.6894742960887195,0.00012304927455775898,313.0,output/output_selection/snps/snps_0.284.fasta,output/output_selection/matrix/matrix_0.284.txt,output/output_selection/ancestral_sequence/ancestral_0.284.fasta,output/output_selection/images/image_0.284.png,output/output_selection/h_result/h_0.284.txt,19235.7
0.2977,output/output_selection/fasta/selection_0.2977.fasta,-2.6335126225629235,0.00010999890001099951,261.0,output/output_selection/snps/snps_0.2977.fasta,output/output_selection/matrix/matrix_0.2977.txt,output/output_selection/ancestral_sequence/ancestral_0.2977.fasta,output/output_selection/images/image_0.2977.png,output/output_selection/h_result/h_0.2977.txt,21441.3
0.3221,output/output_selection/fasta/selection_0.3221.fasta,-2.4231813639884745,0.00020109899911101804,367.0,output/output_selection/snps/snps_0.3221.fasta,output/output_selection/matrix/matrix_0.3221.txt,output/output_selection/ancestral_sequence/ancestral_0.3221.fasta,output/output_selection/images/image_0.3221.png,output/output_selection/h_result/h_0.3221.txt,18687.1
0.3346,output/output_selection/fasta/selection_0.3346.fasta,-2.4867467912601966,0.00015460451456091482,304.0,output/output_selection/snps/snps_0.3346.fasta,output/output_selection/matrix/matrix_0.3346.txt,output/output_selection/ancestral_sequence/ancestral_0.3346.fasta,output/output_selection/images/image_0.3346.png,output/output_selection/h_result/h_0.3346.txt,16617.1
0.3377,output/output_selection/fasta/selection_0.3377.fasta,-2.625706252863794,0.00010399896001039952,245.0,output/output_selection/snps/snps_0.3377.fasta,output/output_selection/matrix/matrix_0.3377.txt,output/output_selection/ancestral_sequence/ancestral_0.3377.fasta,output/output_selection/images/image_0.3377.png,output/output_selection/h_result/h_0.3377.txt,21906.0
0.3909,output/output_selection/fasta/selection_0.3909.fasta,-2.799766409788385,0.00011484531619330257,346.0,output/output_selection/snps/snps_0.3909.fasta,output/output_selection/matrix/matrix_0.3909.txt,output/output_selection/ancestral_sequence/ancestral_0.3909.fasta,output/output_selection/images/image_0.3909.png,output/output_selection/h_result/h_0.3909.txt,18662.1
0.4002,output/output_selection/fasta/selection_0.4002.fasta,-2.316390060874854,0.00023219565784140102,381.0,output/output_selection/snps/snps_0.4002.fasta,output/output_selection/matrix/matrix_0.4002.txt,output/output_selection/ancestral_sequence/ancestral_0.4002.fasta,output/output_selection/images/image_0.4002.png,output/output_selection/h_result/h_0.4002.txt,17900.3
0.4227,output/output_selection/fasta/selection_0.4227.fasta,-2.5657563559236194,0.00010712822164707616,234.0,output/output_selection/snps/snps_0.4227.fasta,output/output_selection/matrix/matrix_0.4227.txt,output/output_selection/ancestral_sequence/ancestral_0.4227.fasta,output/output_selection/images/image_0.4227.png,output/output_selection/h_result/h_0.4227.txt,18264.8
0.4627,output/output_selection/fasta/selection_0.4627.fasta,-2.620370076441585,0.00013993193401399282,323.0,output/output_selection/snps/snps_0.4627.fasta,output/output_selection/matrix/matrix_0.4627.txt,output/output_selection/ancestral_sequence/ancestral_0.4627.fasta,output/output_selection/images/image_0.4627.png,output/output_selection/h_result/h_0.4627.txt,16915.3
0.4852,output/output_selection/fasta/selection_0.4852.fasta,-2.499751402839471,0.00014351573655980564,287.0,output/output_selection/snps/snps_0.4852.fasta,output/output_selection/matrix/matrix_0.4852.txt,output/output_selection/ancestral_sequence/ancestral_0.4852.fasta,output/output_selection/images/image_0.4852.png,output/output_selection/h_result/h_0.4852.txt,18670.6
0.5097,output/output_selection/fasta/selection_0.5097.fasta,-2.657375645903829,0.00011933214001193277,291.0,output/output_selection/snps/snps_0.5097.fasta,output/output_selection/matrix/matrix_0.5097.txt,output/output_selection/ancestral_sequence/ancestral_0.5097.fasta,output/output_selection/images/image_0.5097.png,output/output_selection/h_result/h_0.5097.txt,15512.3
0.5159,output/output_selection/fasta/selection_0.5159.fasta,-2.6778508095466704,0.0001108978809201804,279.0,output/output_selection/snps/snps_0.5159.fasta,output/output_selection/matrix/matrix_0.5159.txt,output/output_selection/ancestral_sequence/ancestral_0.5159.fasta,output/output_selection/images/image_0.5159.png,output/output_selection/h_result/h_0.5159.txt,21261.0
0.5722,output/output_selection/fasta/selection_0.5722.fasta,-2.202844956460452,0.0002603206291169409,386.0,output/output_selection/snps/snps_0.5722.fasta,output/output_selection/matrix/matrix_0.5722.txt,output/output_selection/ancestral_sequence/ancestral_0.5722.fasta,output/output_selection/images/image_0.5722.png,output/output_selection/h_result/h_0.5722.txt,20351.1
0.5753,output/output_selection/fasta/selection_0.5753.fasta,-2.752985318227604,0.00011243119892033357,315.0,output/output_selection/snps/snps_0.5753.fasta,output/output_selection/matrix/matrix_0.5753.txt,output/output_selection/ancestral_sequence/ancestral_0.5753.fasta,output/output_selection/images/image_0.5753.png,output/output_selection/h_result/h_0.5753.txt,17429.7
0.5815,output/output_selection/fasta/selection_0.5815.fasta,-2.692729199508559,9.621519946416663e-05,249.0,output/output_selection/snps/snps_0.5815.fasta,output/output_selection/matrix/matrix_0.5815.txt,output/output_selection/ancestral_sequence/ancestral_0.5815.fasta,output/output_selection/images/image_0.5815.png,output/output_selection/h_result/h_0.5815.txt,21813.2
0.5877,output/output_selection/fasta/selection_0.5877.fasta,-2.7019020369070823,9.287987928201482e-05,244.0,output/output_selection/snps/snps_0.5877.fasta,output/output_selection/matrix/matrix_0.5877.txt,output/output_selection/ancestral_sequence/ancestral_0.5877.fasta,output/output_selection/images/image_0.5877.png,output/output_selection/h_result/h_0.5877.txt,22716.3
0.5908,output/output_selection/fasta/selection_0.5908.fasta,-2.6267385879555083,0.00010653832855610783,251.0,output/output_selection/snps/snps_0.5908.fasta,output/output_selection/matrix/matrix_0.5908.txt,output/output_selection/ancestral_sequence/ancestral_0.5908.fasta,output/output_selection/images/image_0.5908.png,output/output_selection/h_result/h_0.5908.txt,18418.9
0.6378,output/output_selection/fasta/selection_0.6378.fasta,-2.355388477483636,0.00027959316366432267,474.0,output/output_selection/snps/snps_0.6378.fasta,output/output_selection/matrix/matrix_0.6378.txt,output/output_selection/ancestral_sequence/ancestral_0.6378.fasta,output/output_selection/images/image_0.6378.png,output/output_selection/h_result/h_0.6378.txt,17115.6
0.6727,output/output_selection/fasta/selection_0.6727.fasta,-2.4403059998158865,0.0002168604576580492,402.0,output/output_selection/snps/snps_0.6727.fasta,output/output_selection/matrix/matrix_0.6727.txt,output/output_selection/ancestral_sequence/ancestral_0.6727.fasta,output/output_selection/images/image_0.6727.png,output/output_selection/h_result/h_0.6727.txt,16677.3
0.6941,output/output_selection/fasta/selection_0.6941.fasta,-2.670783730223316,0.00010442117801044172,261.0,output/output_selection/snps/snps_0.6941.fasta,output/output_selection/matrix/matrix_0.6941.txt,output/output_selection/ancestral_sequence/ancestral_0.6941.fasta,output/output_selection/images/image_0.6941.png,output/output_selection/h_result/h_0.6941.txt,22935.2
0.7003,output/output_selection/fasta/selection_0.7003.fasta,-2.7488985948203277,0.00010938274455639224,305.0,output/output_selection/snps/snps_0.7003.fasta,output/output_selection/matrix/matrix_0.7003.txt,output/output_selection/ancestral_sequence/ancestral_0.7003.fasta,output/output_selection/images/image_0.7003.png,output/output_selection/h_result/h_0.7003.txt,20007.4
