selection_coefficient,fasta_file,Tajimas_D,Tajima_pi,num_of_mutation,snps_file,matrix_image_file,ancestral_seq,snps_image,output_file,average_h,category_sfs_1,category_sfs_2,category_sfs_3,category_sfs_4,category_sfs_5,category_sfs_6,category_sfs_7,category_sfs_8,category_sfs_9
0.3,output/output_selection/fasta/selection_0.3.fasta,-2.681576811702171,0.00011488369964785146,290.0,output/output_selection/snps/snps_0.3.fasta,output/output_selection/matrix/matrix_0.3.txt,output/output_selection/ancestral_sequence/ancestral_0.3.fasta,output/output_selection/images/image_0.3.png,output/output_selection/h_result/h_0.3.txt,21625.4,0.21724138,0.14827586,0.04137931,0.027586210000000003,0.010344840000000001,0.00344828,0.0,0.0,0.06206897
0.4006,output/output_selection/fasta/selection_0.4006.fasta,-2.439070777089693,0.00020496562711140568,380.0,output/output_selection/snps/snps_0.4006.fasta,output/output_selection/matrix/matrix_0.4006.txt,output/output_selection/ancestral_sequence/ancestral_0.4006.fasta,output/output_selection/images/image_0.4006.png,output/output_selection/h_result/h_0.4006.txt,20056.9,0.17631579,0.08684211,0.13947368000000002,0.03421053,0.00789474,0.00526316,0.0,0.0,0.21578947999999998
0.4094,output/output_selection/fasta/selection_0.4094.fasta,-2.708195615425808,0.00014097636801409732,366.0,output/output_selection/snps/snps_0.4094.fasta,output/output_selection/matrix/matrix_0.4094.txt,output/output_selection/ancestral_sequence/ancestral_0.4094.fasta,output/output_selection/images/image_0.4094.png,output/output_selection/h_result/h_0.4094.txt,23467.1,0.20491803,0.05737705,0.07650273,0.03278688,0.0,0.00273224,0.0,0.0,0.10928961
0.425,output/output_selection/fasta/selection_0.425.fasta,-2.2707096451995468,0.00025704793457115933,404.0,output/output_selection/snps/snps_0.425.fasta,output/output_selection/matrix/matrix_0.425.txt,output/output_selection/ancestral_sequence/ancestral_0.425.fasta,output/output_selection/images/image_0.425.png,output/output_selection/h_result/h_0.425.txt,16315.2,0.2029703,0.04455446,0.07425743,0.024752479999999997,0.00990099,0.05940594,0.0,0.0,0.18811883
0.4631,output/output_selection/fasta/selection_0.4631.fasta,-2.7143184358389507,9.790609164615382e-05,261.0,output/output_selection/snps/snps_0.4631.fasta,output/output_selection/matrix/matrix_0.4631.txt,output/output_selection/ancestral_sequence/ancestral_0.4631.fasta,output/output_selection/images/image_0.4631.png,output/output_selection/h_result/h_0.4631.txt,21235.2,0.17624521,0.09961686,0.09195402,0.03448275,0.00383142,0.0,0.0,0.0,0.01149426
0.4768,output/output_selection/fasta/selection_0.4768.fasta,-2.6897680184764434,0.00010652216710156088,273.0,output/output_selection/snps/snps_0.4768.fasta,output/output_selection/matrix/matrix_0.4768.txt,output/output_selection/ancestral_sequence/ancestral_0.4768.fasta,output/output_selection/images/image_0.4768.png,output/output_selection/h_result/h_0.4768.txt,17599.6,0.18315018,0.06593407,0.08058608,0.04761904,0.01465201,0.0,0.0,0.0,0.0
0.4875,output/output_selection/fasta/selection_0.4875.fasta,-2.5214384569664325,0.00015921658965228474,325.0,output/output_selection/snps/snps_0.4875.fasta,output/output_selection/matrix/matrix_0.4875.txt,output/output_selection/ancestral_sequence/ancestral_0.4875.fasta,output/output_selection/images/image_0.4875.png,output/output_selection/h_result/h_0.4875.txt,16522.7,0.14461538,0.12615385,0.07076923,0.07692307000000001,0.01846153,0.0,0.0,0.0,0.07384616
0.4982,output/output_selection/fasta/selection_0.4982.fasta,-2.6911541838241715,9.068596182724997e-05,235.0,output/output_selection/snps/snps_0.4982.fasta,output/output_selection/matrix/matrix_0.4982.txt,output/output_selection/ancestral_sequence/ancestral_0.4982.fasta,output/output_selection/images/image_0.4982.png,output/output_selection/h_result/h_0.4982.txt,20398.0,0.17446809,0.05957447,0.05531915,0.055319150000000004,0.01276596,0.0,0.0,0.0,0.01702128
0.5371,output/output_selection/fasta/selection_0.5371.fasta,-2.6344746716846097,0.0001275785221945755,301.0,output/output_selection/snps/snps_0.5371.fasta,output/output_selection/matrix/matrix_0.5371.txt,output/output_selection/ancestral_sequence/ancestral_0.5371.fasta,output/output_selection/images/image_0.5371.png,output/output_selection/h_result/h_0.5371.txt,17670.4,0.14950166,0.08637874,0.09966777,0.03654485,0.00332226,0.00664452,0.0,0.0,0.10299003
0.5375,output/output_selection/fasta/selection_0.5375.fasta,-2.66689977101192,9.863133691895363e-05,246.0,output/output_selection/snps/snps_0.5375.fasta,output/output_selection/matrix/matrix_0.5375.txt,output/output_selection/ancestral_sequence/ancestral_0.5375.fasta,output/output_selection/images/image_0.5375.png,output/output_selection/h_result/h_0.5375.txt,18106.9,0.25203252,0.06504065,0.09349593,0.04471544,0.00813008,0.0,0.0,0.0,0.01219512
0.5437,output/output_selection/fasta/selection_0.5437.fasta,-1.4162238747493157,0.0005207079242338921,463.0,output/output_selection/snps/snps_0.5437.fasta,output/output_selection/matrix/matrix_0.5437.txt,output/output_selection/ancestral_sequence/ancestral_0.5437.fasta,output/output_selection/images/image_0.5437.png,output/output_selection/h_result/h_0.5437.txt,15978.8,0.15982721,0.03887689,0.049676029999999996,0.01727862,0.0561555,0.14254858,0.0,0.0,0.19870411000000004
0.5607,output/output_selection/fasta/selection_0.5607.fasta,-2.685171423397764,0.00011014233292010483,280.0,output/output_selection/snps/snps_0.5607.fasta,output/output_selection/matrix/matrix_0.5607.txt,output/output_selection/ancestral_sequence/ancestral_0.5607.fasta,output/output_selection/images/image_0.5607.png,output/output_selection/h_result/h_0.5607.txt,17148.0,0.19285714,0.15,0.06785714000000001,0.03571429,0.0,0.00357143,0.0,0.0,0.03928571
0.5637,output/output_selection/fasta/selection_0.5637.fasta,-2.5982976700415352,0.00011665943946621091,264.0,output/output_selection/snps/snps_0.5637.fasta,output/output_selection/matrix/matrix_0.5637.txt,output/output_selection/ancestral_sequence/ancestral_0.5637.fasta,output/output_selection/images/image_0.5637.png,output/output_selection/h_result/h_0.5637.txt,21866.3,0.26515152,0.07954545,0.10984849000000001,0.04166667,0.00378788,0.0,0.0,0.0,0.056818190000000005
0.5881,output/output_selection/fasta/selection_0.5881.fasta,-2.7192996323162477,9.913638237354965e-05,266.0,output/output_selection/snps/snps_0.5881.fasta,output/output_selection/matrix/matrix_0.5881.txt,output/output_selection/ancestral_sequence/ancestral_0.5881.fasta,output/output_selection/images/image_0.5881.png,output/output_selection/h_result/h_0.5881.txt,21329.6,0.21804511,0.12030075,0.07518797,0.03759399,0.0,0.0,0.0,0.0,0.0
0.6506,output/output_selection/fasta/selection_0.6506.fasta,-2.6908677792665108,0.00011087363873835974,284.0,output/output_selection/snps/snps_0.6506.fasta,output/output_selection/matrix/matrix_0.6506.txt,output/output_selection/ancestral_sequence/ancestral_0.6506.fasta,output/output_selection/images/image_0.6506.png,output/output_selection/h_result/h_0.6506.txt,20422.9,0.22887324,0.09859155,0.05985915,0.01760563,0.01408451,0.010563389999999999,0.0,0.0,0.0387324
0.6718,output/output_selection/fasta/selection_0.6718.fasta,-2.7117380549216006,0.00011147363273841956,294.0,output/output_selection/snps/snps_0.6718.fasta,output/output_selection/matrix/matrix_0.6718.txt,output/output_selection/ancestral_sequence/ancestral_0.6718.fasta,output/output_selection/images/image_0.6718.png,output/output_selection/h_result/h_0.6718.txt,16473.6,0.18027211,0.12244898,0.07142857999999999,0.034013600000000005,0.00680272,0.0,0.0,0.0,0.02380952
0.7131,output/output_selection/fasta/selection_0.7131.fasta,-2.6485306177922485,0.00010383532528311049,252.0,output/output_selection/snps/snps_0.7131.fasta,output/output_selection/matrix/matrix_0.7131.txt,output/output_selection/ancestral_sequence/ancestral_0.7131.fasta,output/output_selection/images/image_0.7131.png,output/output_selection/h_result/h_0.7131.txt,20189.9,0.22222222,0.07142857,0.08730158,0.03968254,0.01984127,0.00396825,0.0,0.0,0.0
0.7649,output/output_selection/fasta/selection_0.7649.fasta,-2.637333473511894,0.000110310008011031,263.0,output/output_selection/snps/snps_0.7649.fasta,output/output_selection/matrix/matrix_0.7649.txt,output/output_selection/ancestral_sequence/ancestral_0.7649.fasta,output/output_selection/images/image_0.7649.png,output/output_selection/h_result/h_0.7649.txt,18017.4,0.28897338,0.09505703,0.053231940000000005,0.04562737,0.00760456,0.01140684,0.0,0.0,0.026615970000000003
0.7875,output/output_selection/fasta/selection_0.7875.fasta,-2.6966963462802926,9.768791200976841e-05,254.0,output/output_selection/snps/snps_0.7875.fasta,output/output_selection/matrix/matrix_0.7875.txt,output/output_selection/ancestral_sequence/ancestral_0.7875.fasta,output/output_selection/images/image_0.7875.png,output/output_selection/h_result/h_0.7875.txt,16929.4,0.20472441,0.14173228,0.07086614,0.027559060000000003,0.0,0.00787402,0.0,0.0,0.0
0.7906,output/output_selection/fasta/selection_0.7906.fasta,-2.3907434798084943,0.0002206745609311581,389.0,output/output_selection/snps/snps_0.7906.fasta,output/output_selection/matrix/matrix_0.7906.txt,output/output_selection/ancestral_sequence/ancestral_0.7906.fasta,output/output_selection/images/image_0.7906.png,output/output_selection/h_result/h_0.7906.txt,14937.2,0.16709512,0.05398458,0.23393315999999997,0.03084833,0.01799485,0.0,0.0,0.0,0.12082261
0.7968,output/output_selection/fasta/selection_0.7968.fasta,-2.09922901998788,0.000374101309491956,508.0,output/output_selection/snps/snps_0.7968.fasta,output/output_selection/matrix/matrix_0.7968.txt,output/output_selection/ancestral_sequence/ancestral_0.7968.fasta,output/output_selection/images/image_0.7968.png,output/output_selection/h_result/h_0.7968.txt,16667.0,0.1988189,0.07283465,0.15354331,0.061023629999999995,0.013779530000000002,0.025590560000000005,0.00393701,0.0,0.21653543
0.8107,output/output_selection/fasta/selection_0.8107.fasta,-2.7106233678449643,0.00012846538201284591,336.0,output/output_selection/snps/snps_0.8107.fasta,output/output_selection/matrix/matrix_0.8107.txt,output/output_selection/ancestral_sequence/ancestral_0.8107.fasta,output/output_selection/images/image_0.8107.png,output/output_selection/h_result/h_0.8107.txt,17509.0,0.1547619,0.08333333,0.09821428,0.0297619,0.00297619,0.00297619,0.0,0.0,0.11904761
0.8381,output/output_selection/fasta/selection_0.8381.fasta,-2.6443663507583794,0.00012237453383041885,293.0,output/output_selection/snps/snps_0.8381.fasta,output/output_selection/matrix/matrix_0.8381.txt,output/output_selection/ancestral_sequence/ancestral_0.8381.fasta,output/output_selection/images/image_0.8381.png,output/output_selection/h_result/h_0.8381.txt,19730.9,0.19795222,0.13651877,0.07508532,0.03754267,0.00341297,0.00341297,0.0,0.0,0.05460751
0.85,output/output_selection/fasta/selection_0.85.fasta,-2.7096665322557447,9.499702982768112e-05,252.0,output/output_selection/snps/snps_0.85.fasta,output/output_selection/matrix/matrix_0.85.txt,output/output_selection/ancestral_sequence/ancestral_0.85.fasta,output/output_selection/images/image_0.85.png,output/output_selection/h_result/h_0.85.txt,21601.4,0.21825397,0.05952381,0.04761904,0.05158731,0.00396825,0.0079365,0.0,0.0,0.0
0.8562,output/output_selection/fasta/selection_0.8562.fasta,-2.712469310677278,9.898082837353409e-05,263.0,output/output_selection/snps/snps_0.8562.fasta,output/output_selection/matrix/matrix_0.8562.txt,output/output_selection/ancestral_sequence/ancestral_0.8562.fasta,output/output_selection/images/image_0.8562.png,output/output_selection/h_result/h_0.8562.txt,17649.9,0.22053232,0.06844106,0.07984791,0.04562738,0.00380228,0.0,0.0,0.0,0.03422053
0.8593,output/output_selection/fasta/selection_0.8593.fasta,-2.6269704482555567,0.00015392371328811917,357.0,output/output_selection/snps/snps_0.8593.fasta,output/output_selection/matrix/matrix_0.8593.txt,output/output_selection/ancestral_sequence/ancestral_0.8593.fasta,output/output_selection/images/image_0.8593.png,output/output_selection/h_result/h_0.8593.txt,22883.1,0.17086835,0.14845938,0.09803921,0.0140056,0.00280112,0.00280112,0.0,0.0,0.12044817
0.8732,output/output_selection/fasta/selection_0.8732.fasta,-1.8284505332705416,0.00023407240675067954,265.0,output/output_selection/snps/snps_0.8732.fasta,output/output_selection/matrix/matrix_0.8732.txt,output/output_selection/ancestral_sequence/ancestral_0.8732.fasta,output/output_selection/images/image_0.8732.png,output/output_selection/h_result/h_0.8732.txt,21323.2,0.12830189,0.06037736,0.09811320999999999,0.01886792,0.00754716,0.00377358,0.06037732999999999,0.05283014999999999,0.0
0.9094,output/output_selection/fasta/selection_0.9094.fasta,-2.698890717950741,8.801528146334657e-05,231.0,output/output_selection/snps/snps_0.9094.fasta,output/output_selection/matrix/matrix_0.9094.txt,output/output_selection/ancestral_sequence/ancestral_0.9094.fasta,output/output_selection/images/image_0.9094.png,output/output_selection/h_result/h_0.9094.txt,20483.0,0.1991342,0.07792208,0.11255411000000001,0.02164502,0.01298701,0.0,0.0,0.0,0.0
0.9156,output/output_selection/fasta/selection_0.9156.fasta,-2.78215409006679,9.063141691815356e-05,269.0,output/output_selection/snps/snps_0.9156.fasta,output/output_selection/matrix/matrix_0.9156.txt,output/output_selection/ancestral_sequence/ancestral_0.9156.fasta,output/output_selection/images/image_0.9156.png,output/output_selection/h_result/h_0.9156.txt,21276.3,0.18587361,0.09665428,0.06691449000000001,0.00743494,0.00743494,0.0,0.0,0.0,0.0
0.9187,output/output_selection/fasta/selection_0.9187.fasta,-2.676965440957023,9.762932673703528e-05,247.0,output/output_selection/snps/snps_0.9187.fasta,output/output_selection/matrix/matrix_0.9187.txt,output/output_selection/ancestral_sequence/ancestral_0.9187.fasta,output/output_selection/images/image_0.9187.png,output/output_selection/h_result/h_0.9187.txt,20621.1,0.31174089,0.06072874,0.07692307000000001,0.02024292,0.0242915,0.0,0.0,0.0,0.0
0.9218,output/output_selection/fasta/selection_0.9218.fasta,-2.635932244530646,0.00013971173419578914,329.0,output/output_selection/snps/snps_0.9218.fasta,output/output_selection/matrix/matrix_0.9218.txt,output/output_selection/ancestral_sequence/ancestral_0.9218.fasta,output/output_selection/images/image_0.9218.png,output/output_selection/h_result/h_0.9218.txt,16126.4,0.28571429,0.04255319,0.05775076,0.07294832999999999,0.00303951,0.00303951,0.0,0.0,0.04863222
0.9843,output/output_selection/fasta/selection_0.9843.fasta,-2.6407595296374238,0.00010407976728313493,250.0,output/output_selection/snps/snps_0.9843.fasta,output/output_selection/matrix/matrix_0.9843.txt,output/output_selection/ancestral_sequence/ancestral_0.9843.fasta,output/output_selection/images/image_0.9843.png,output/output_selection/h_result/h_0.9843.txt,15707.0,0.204,0.112,0.10800000000000001,0.052,0.0,0.004,0.0,0.0,0.0
0.9982,output/output_selection/fasta/selection_0.9982.fasta,-2.550739261127473,0.000179765879108885,378.0,output/output_selection/snps/snps_0.9982.fasta,output/output_selection/matrix/matrix_0.9982.txt,output/output_selection/ancestral_sequence/ancestral_0.9982.fasta,output/output_selection/images/image_0.9982.png,output/output_selection/h_result/h_0.9982.txt,20035.6,0.12962963,0.08465608,0.04232804,0.11111111,0.0026455,0.0,0.0,0.0,0.11111112000000001
0.0858,output/output_selection/fasta/selection_0.0858.fasta,-2.317289845243085,0.00020959588383914085,345.0,output/output_selection/snps/snps_0.0858.fasta,output/output_selection/matrix/matrix_0.0858.txt,output/output_selection/ancestral_sequence/ancestral_0.0858.fasta,output/output_selection/images/image_0.0858.png,output/output_selection/h_result/h_0.0858.txt,21831.3,0.1942029,0.09565217,0.10724638,0.04057971,0.014492749999999999,0.00289855,0.0057971,0.0,0.14782608
0.0877,output/output_selection/fasta/selection_0.0877.fasta,-2.47834277483571,0.00017466289983564788,339.0,output/output_selection/snps/snps_0.0877.fasta,output/output_selection/matrix/matrix_0.0877.txt,output/output_selection/ancestral_sequence/ancestral_0.0877.fasta,output/output_selection/images/image_0.0877.png,output/output_selection/h_result/h_0.0877.txt,19560.6,0.20058997,0.1179941,0.08259587,0.056047200000000005,0.0058997,0.00884955,0.0,0.0,0.13864309
0.0965,output/output_selection/fasta/selection_0.0965.fasta,-2.5536847146710184,0.00018401836183658336,388.0,output/output_selection/snps/snps_0.0965.fasta,output/output_selection/matrix/matrix_0.0965.txt,output/output_selection/ancestral_sequence/ancestral_0.0965.fasta,output/output_selection/images/image_0.0965.png,output/output_selection/h_result/h_0.0965.txt,17263.4,0.1443299,0.08762887,0.13659793,0.028350520000000004,0.00257732,0.0,0.0,0.0,0.15206186
0.1971,output/output_selection/fasta/selection_0.1971.fasta,-2.6652580956831318,0.00017379220147192433,422.0,output/output_selection/snps/snps_0.1971.fasta,output/output_selection/matrix/matrix_0.1971.txt,output/output_selection/ancestral_sequence/ancestral_0.1971.fasta,output/output_selection/images/image_0.1971.png,output/output_selection/h_result/h_0.1971.txt,21507.7,0.24407583,0.07582938,0.04739336,0.03554502,0.00236967,0.00236967,0.0,0.0,0.15639811
0.2352,output/output_selection/fasta/selection_0.2352.fasta,-2.384125478614171,0.00020460603474773287,359.0,output/output_selection/snps/snps_0.2352.fasta,output/output_selection/matrix/matrix_0.2352.txt,output/output_selection/ancestral_sequence/ancestral_0.2352.fasta,output/output_selection/images/image_0.2352.png,output/output_selection/h_result/h_0.2352.txt,15423.1,0.13927577,0.06963788,0.15320335,0.0362117,0.01114207,0.01392758,0.00278552,0.0,0.15877438
0.2459,output/output_selection/fasta/selection_0.2459.fasta,-2.7110542473560146,9.359704382754113e-05,249.0,output/output_selection/snps/snps_0.2459.fasta,output/output_selection/matrix/matrix_0.2459.txt,output/output_selection/ancestral_sequence/ancestral_0.2459.fasta,output/output_selection/images/image_0.2459.png,output/output_selection/h_result/h_0.2459.txt,21807.6,0.14859438,0.04417671,0.07630522,0.0441767,0.00803212,0.00803212,0.0,0.0,0.0
0.2596,output/output_selection/fasta/selection_0.2596.fasta,-2.8266754772259777,0.00011722105001172142,369.0,output/output_selection/snps/snps_0.2596.fasta,output/output_selection/matrix/matrix_0.2596.txt,output/output_selection/ancestral_sequence/ancestral_0.2596.fasta,output/output_selection/images/image_0.2596.png,output/output_selection/h_result/h_0.2596.txt,18828.4,0.19783198,0.06775068,0.040650410000000005,0.02168022,0.00271003,0.0,0.0,0.0,0.10298103
0.2659,output/output_selection/fasta/selection_0.2659.fasta,-2.680913360267206,9.706973637334296e-05,247.0,output/output_selection/snps/snps_0.2659.fasta,output/output_selection/matrix/matrix_0.2659.txt,output/output_selection/ancestral_sequence/ancestral_0.2659.fasta,output/output_selection/images/image_0.2659.png,output/output_selection/h_result/h_0.2659.txt,16717.4,0.15789474,0.12145749,0.07692307,0.03643725,0.01619434,0.00404858,0.0,0.0,0.0
0.2752,output/output_selection/fasta/selection_0.2752.fasta,-1.977297383720596,0.00026439533584462105,330.0,output/output_selection/snps/snps_0.2752.fasta,output/output_selection/matrix/matrix_0.2752.txt,output/output_selection/ancestral_sequence/ancestral_0.2752.fasta,output/output_selection/images/image_0.2752.png,output/output_selection/h_result/h_0.2752.txt,19280.4,0.10606061,0.08484848,0.1060606,0.042424250000000004,0.09696969,0.03030303,0.0,0.0,0.14242423999999998
0.2783,output/output_selection/fasta/selection_0.2783.fasta,-2.806856749536513,0.00013073202601307252,396.0,output/output_selection/snps/snps_0.2783.fasta,output/output_selection/matrix/matrix_0.2783.txt,output/output_selection/ancestral_sequence/ancestral_0.2783.fasta,output/output_selection/images/image_0.2783.png,output/output_selection/h_result/h_0.2783.txt,21368.4,0.12373737,0.03282828,0.06313131,0.03030304,0.00252525,0.00252525,0.0,0.0,0.16161616
0.284,output/output_selection/fasta/selection_0.284.fasta,-2.6894742960887195,0.00012304927455775898,313.0,output/output_selection/snps/snps_0.284.fasta,output/output_selection/matrix/matrix_0.284.txt,output/output_selection/ancestral_sequence/ancestral_0.284.fasta,output/output_selection/images/image_0.284.png,output/output_selection/h_result/h_0.284.txt,19235.7,0.18210863,0.1341853,0.1086262,0.01277956,0.00638978,0.0,0.0,0.0,0.09584664
